"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"A_Different_Drummer","1 February 2024","... is that Jason Statham at 56 still has it and so does director David Ayer. The two combined forces to develop a story that can best be described as ""every film Charles Bronson ever made with software revisions by a programmer called John Wick."" The action starts almost immediately and then just goes. If you like memes and themes with your action, then there are some scenes where the importance of being nice to older people pop up, and also also some talk of the importance of being a good person. But all that is just talk. At the end of the day (and by the end of the film), the action takes center stage. It helps if you know the filmography of both Bronson and Statham (which would help you relate to the ""be nice to old people"" meme), but you can also enjoy a cold viewing if needs be. Very little wokeness here, an added bonus. The good old days... ((Designated ""IMDb Top Reviewer."" Please check out my list ""167+ Nearly-Perfect Movies (with the occasional Anime or TV miniseries) you can/should see again and again (1932 to the present))","7/10"
"aaidil-1997","3 June 2023","This Is My Best Cinema Experience Since Avengers Infinity War.To Scorsese, You Need To Watch This Movie. I Guarantee You That You Won't Regret It. Not Every Comic Book Movies Is A Roller Coaster Ride.Let's Talk About The Storyline For This Movie. It's So Mature & Unpredictable. I'm Glad That The Movie Managed To Keep Us Surprised For Every Moment. The Character Development Also Wonderful.Animation Also Top Notch This Time. I Think This Movie Will Be Another Benchmark To Animation Industry After This.The Music Score Is On Another Level. I Really Dig The Opening Soundtrack.Voice Acting Was Powerful. Thanks A Lot, Everyone.Overall, This Is The Best Movie That I Ever Watched In 2023 So Far .","9/10"
"aarathiajit-02903","1 July 2023","A good movie is something that entertains you at the moment. A great movie is one that stays with you way after the screen turns black. Never have I felt this passionately about a superhero movie before. Every frame was breathtaking. The use of colour to convey each emotion was phenomenal. It was a rollercoaster of emotions with a soundtrack that did not stop amazing me. The humour, the wit, the subtle messaging, I could watch this one a million times. My personal favourite scenes where the one with Gwen and her dad and the one with Gwen and Miles pictured to Monalisa. But the whole movie was remarkable. It truly won my heart.","10/10"
"aaravsengar","3 September 2023","So, I recently caught the newly released Indiana Jones movie, and if I'm being honest, it left me feeling quite underwhelmed. Personally, I found it rather dull and boring, and given its runtime of almost 2:30 hours, that's a lot of time to be uninterested. While there were a few fleeting moments of fun, the film mostly adhered to the same old Indiana Jones formula without bringing anything genuinely new to the table.One of the biggest disappointments for me was the CGI. In this age of advanced technology, I expected better. Unfortunately, the visual effects often felt subpar and failed to create the immersive experience I was hoping for in an Indiana Jones movie. It's a shame because the franchise has a history of breathtaking practical effects, and this installment seemed to rely too heavily on CGI.The addition of Phoebe Waller-Bridge, while talented in her own right, didn't quite fit the classic Indiana Jones concept. Her character felt out of place in the adventure and action-packed world of Indiana Jones. It's not a knock on her acting abilities but rather a question of how well her character integrated into the established narrative.On the bright side, the acting from the rest of the cast was decent. Harrison Ford reprising his iconic role did bring a sense of nostalgia, and he handled the physicality of the role remarkably well. However, the screenplay didn't do him any favors in terms of character development or depth.Overall, if you find yourself with absolutely nothing to do and are a die-hard Indiana Jones fan, you might want to give this movie a shot. It's got the name and some familiar elements, so it might scratch that nostalgia itch. But if you're looking for a fresh, exciting take on the Indiana Jones saga, this one might leave you feeling unsatisfied. Personally, I'd rate it around 5.5 stars - it's watchable but far from memorable.","8/10"
"aarongnr","24 April 2019","It wouldve been easily the most epic comic book movie ever. (It still is for many parts)Not gonna go into huge spoilers for this one, just gonna say that the story was brilliant. It was SO well executed.What really annoyed me about this movie were 3 things:
1) Thor being a complete laugh
2) Fortnite (seriously Marvel? thats just sad)
3) Cap being able to wield Thors hammer all of a sudden for no reason at all. (Time travel makes it reconsider whos worthy it seems?)oh and 4 - 14000000) Fortnitehave a good one","8/10"
"aaronshibu-77661","7 June 2023","Spider-Man: Across the Spider-Verse is an absolutely amazing movie. It is the sequel to the critically acclaimed 2018 film Spider-Man: Into the Spider-Verse, and it is even better than the original. The animation is stunning, the story is engaging, and the characters are all well-developed and likable.The film follows Miles Morales as he travels across the multiverse to meet other Spider-People from different universes. Along the way, he meets Gwen Stacy, Spider-Gwen from Earth-65, and Miguel O'Hara, Spider-Man 2099 from Earth-928. The three Spider-People must team up to stop a powerful new villain, The Spot, from destroying the multiverse.The animation in Spider-Man: Across the Spider-Verse is simply breathtaking. The film uses a unique style of animation that combines 2D and 3D animation, and it results in some truly stunning visuals. The film is full of vibrant colors, and the action sequences are incredibly fluid and exciting.The story in Spider-Man: Across the Spider-Verse is just as good as the animation. The film is full of humor, heart, and action. The characters are all well-developed and likable, and the film does a great job of exploring the themes of family, friendship, and responsibility.Overall, Spider-Man: Across the Spider-Verse is an amazing movie. It is a must-see for any fan of animation, superhero movies, or simply great films. The film is sure to entertain and amaze audiences of all ages.Here are some additional thoughts on the film:The film's use of music is incredible. The soundtrack features a mix of original songs and classic Spider-Man tunes, and it all comes together perfectly to create a truly immersive experience.The film's voice cast is top-notch. Shameik Moore, Hailee Steinfeld, Jake Johnson, Oscar Isaac, Issa Rae, and John Mulaney all return to reprise their roles, and they are joined by a number of new talent, including Jorma Taccone, Kathryn Hahn, and Chris Pine.The film is full of surprises. There are a number of unexpected twists and turns throughout the film, and they all help to keep the audience on the edge of their seats.If you're a fan of Spider-Man, animation, or simply great films, then you need to see Spider-Man: Across the Spider-Verse. It is an amazing movie that is sure to entertain and amaze audiences of all ages.","10/10"
"abcvision","5 January 2013","Pi Patel is a rambunctious boy, who is wise beyond his years. He seeks the truth in life and in the spiritual world.In the Life of Pi, Pi is caught in a wild adventure as in a twist of unforeseen events he ends up literally the turbulent waters of the ocean with his wits and accompanied with a tiger. Directed by Ang Lee and based on the novel by Yann Martel, this movie is beautiful and mystical that opens the door to a world of possibilities. This movie has what is expected from an Ann Lee movie, full of color and the scenes are larger than life. It is a touching tale and will definitely be a Lee classic.","9/10"
"abcxyz-94493","27 November 2023","#4 was so god awful that #5 seems great by comparison. Great seeing Ford again as Indy. None of the other characters work so well (except Mads' character - he's always a great villain). The female lead was not likable enough (nor attractive enough IMO). The plot was convoluted...and when it wasn't is was just a big non-stop chase. What the movie lacked most was comedic touches. If you look at a list of the director's movies they are all kind of depressing. Logan. Cop Land. Almost zero comedic touches. Instead of Marigold imagine if Gunn had directed this? More than comedic touches the movie needs to be fun and adventurous. That's the whole point of the series - an homage to those old timey serial adventures set in exotic lands.","7/10"
"abdelazeeme","31 January 2024","I won't say it's the movie of the year but as Jason statham movie , it's very entertaining and well done movie.I was willing to watch the movie in theater when I saw the trailer and for reasons beyond me I couldn't, so I just watched the movie at home and to be completely honest I wish I watched it on a the big screen. The movie has some plot stretches but for a movie that adapts the equalizer concept I wouldn't be surprised about a man that can take down the whole SWAT team on his own specially that's the whole point behind the story itself. The dedication of ""bees"" that mainly makes them a very essential part of our environment . The movie as a whole package is very good and was fun to watch and wouldn't hate to see a sequel to it , don't mind the haters that went into a Jason Statham movie expecting to watch Macbeth play's performance! If you like action movies that's definitely a movie worth watching.","9/10"
"abdiluqman-47593","27 June 2020","This was an amazing ending to the Ape story and caesar's journey.I really loved the 3 movies,they were all great inntheir own way.This movie was an emotional ride we were not ready for but oh my god I loved it.Andy Serkis Is the best actor out there,he deserves more recognition.","10/10"
"Abdo-iq2","15 December 2018","Unfortunately it deserves more than 10. The animation was very good even the soundtrack. Every body should watch it....","6/10"
"abdorahmanrawashdeh","5 September 2021","This movie is truly once in a lifetime experience.","8/10"
"abdullhgamr","15 December 2018","The best dragon ball is the best !!!!! wow vigeta is so cool man and I love gotten sos much idk why","10/10"
"abdulx","27 December 2012","This is the best movie in 2012 hands down, I HATE 3D, but this movie actually makes incredible use of 3D. No eye strain whatsoever and the effects feel right. This movie should be a benchmark for all 3D movies to come, and i hope future movie directors learn from it. The storyline is amazing, so magical and reflects the spirituality of India and its various religions. The CGI is beyond incredible.This movie destroy's the hobbit's 3D (which was terrible). I strongly recommend everyone to go see it , DO NOT MISS IT. and watch it 3D (even if you hate 3D), do not see it in 2D , i just can't imagine this movie to work in 2D and Ang Lee said it himself, that this movie just doesn't work in 2D and he's so right. Trust me, this is coming from a strong disbeliever in 3D movies (i hated Avatar 3D btw), but THIS IS IT, this is the movie that defines what movies will look like in the future.","9/10"
"Abdulxoxo","5 February 2021","Although this film has 'Avengers' in the title, it ultimately belongs to Thanos. It's his story that drives the whole plot. He is the main characters of this movie, not any of the heroes. Thanos in my opinion is the greatest villain the MCU has ever produced. as a character he is truly threatening. In most of these movies deep down I know the hero will always win. For the first time I wasn't sure if the hero would win or not. Through the movie's entirety I was on the edge of my seat wandering whether my favourite characters would actually make it out of the movie alive. To have a villain with that level of genuine threat I thought was fantastic. I also felt slightly conflicted by his motivations. On the face of it, planning to eliminate half the universe's population is obviously a bad thing; however, after we learn his motivations for wanting to do so, I'd be lying if I didn't say I understood where he was coming from. There are two tones at play in this movie. One of them is a comical tone, mostly coming from the Guardians, Thor and Spider-Man. Predominantly though this movie is dark. Because of the level of threat created by Thanos, there is an emotional aspect to this film that will take the viewer by surprise. There are plenty of large scale action sequences, which are amazing; but there are also some shocking moments that were difficult to deal with. What I can say is that, the running time of two and a half hours absolutely flew by.
Overall, Avengers: Infinity War did well in balancing the screen time among the characters in a way that every member of the Avengers get at least a moment to shine. There are also lots of great action, comedy, performances and a massive cliffhanger at the end that is well earned.","10/10"
"abidsuhail","23 November 2012","With all the hype of a bestseller novel turning into a 3D movie, Life of Pi would possibly be the highly overrated movie of the year. Of course, it greatly impresses with its verisimilitude of the digital imagery, which is painstakingly constructed with one step on the fantasy and another on reality. I think this is so far the best imagery shot/created for a oceanic film and Richard Parker, the tiger is a marvel. Though, I was initially disappointed with the narrower aspect ratio 1.85:1; would've been more spectacular in 2.35:1But, where the movie (and the Novel) falls in its entirety is the drama, which is said to be constructed in tangence to spiritual overtones which justifies the Indian milieu ; the so called philosophy it offers is so very juvenile and text-bookish, (at-least that's how it would be for an Indian); the characters so flat and sketchy and casting over the top, detailing really bad and the authenticity in the soup (Tamil Talkie parts especially). Wondering if they hired a (right) cultural consultant. And this makes the first 25 minutes terrible to watch. Yes, all this is supposed to be carried from the original content by Yann Martel (which I consider an Yawn inducer).Having read the book and unimpressed, my only reason to watch Life of Pi in cinemas was Ang Lee. The man, in one of his interviews has said, he did have an initial hesitation and did contemplate a lot before taking up this project. I think one has to follow their intuition in creative matters and wish Ang Lee did that.So, if you've read the book, you know what to expect plot wise, and you'd be anticipating Ang Lee's visual interpretation, which is sure to enthrall you. And if you have not read the book, even better, the anticipation of 'where is this leading' might keep you engaged; only that at the end when the destination arrives, you might be left unsatisfied. 5/10 for the visual magnificence.","10/10"
"Abir-Xtreme","15 December 2018","When Dragon Ball finally returned after its big hiatus with Battle of Gods, the expectations and the excitement were both at their zenith. Unfortunately, it failed to hold onto it with the poorly directed and somewhat unoriginal Resurrection of F. What followed was even worse with a poorly scheduled animated series that threw the animators between a rock and a hard place. The result was mass disappointment and criticism for the once beloved franchise and it wasn't until the Zamasu arc did people start seeing glimpses of what was once adored. By the time the tournament of power arc rolled around, the animation quality had gotten up considerably and while the storytelling still needed some work the direction overall was better. In a way, Dragon Ball Super Broly is a reward for those who stuck by the series despite the issues because it conquers everything that went wrong before.Let us begin, up first I would like to get the bad out of the way. The only real problem I have with the movie is the incredibly bland retelling of the Dragon Ball Minus Manga. It is by far the least creative thing Toriyama has ever produced and it hurts me a bit that they did not keep the original Anime's take on things. However, that being said it was a fun experience to see Goku's mother Gine finally drawn out in front of us. Couple that with Toei's attempt to pay some homage to the original Bardock story with a very similar demise and it does give the older fans something to feel good about early on. The other negative is the sudden super realistic CGI that is used between all this amazing 2d animation, which can kick you out of the immersion if you notice it for a bit.Now let us focus on the actual movie and see what it offers, the general idea of the story is to connect a line between our main characters Goku and Vegeta with the new and improved Broly. When I say 'IMPROVED' I mean that in every send of the word. The little things with Broly before any of the action even begins is what actually makes you like him. Director Tatsuya Nagamine essentially split Broly into two beings, one is this curious and unsociable outcast that really just wants to be loyal to his father and feels disconnected from the world due to his unfortunate circumstances. The other side is shown during the intense action scenes when he sheds all emotion and turns into a savage monster that embodies everything from the original noncanon movie. This way you somewhat satisfy both the casual fans who want him to be the hulk of the franchise and those who wanted more depth in the character.Now the general plot without any major spoilers comes down to Freeza attempting to steal the Dragon balls yet again though this time for a far more ridiculous goal and while doing so, some of his soldiers come across Broly and Paragus who were outcast by King Vegeta out of sheer jealousy. They are convinced by Freeza that the best way to exact due revenge would be to travel to Earth and take down Vegeta, the eldest son of the late King Vegeta. Which automatically sets Broly on a collision course against Goku as well. They arrive on an icy land and so begins the battle. Here is where I would like to start talking about the animation and voice acting, for the longest time I looked at other animated Japanse shows like My Hero Academia, Mob Psycho and One Punch man and said to myself, how amazing would it really be If Dragon Ball could match that level? Well, I am glad to tell you guys that they have matched and exceeded our expectations for animation here. The kind of madness at display here is nothing but pure excellence. Which is expected when you have the likes Yuya Takahashi, Yuki Hayashi, Naotoshi Shida, Yoshihiko Umakoshi, Chikashi Kobuta and Ryo Onishi pulling the strings behind the frames. All this is only possible due to Naohiro Shintani freeing us from the shackles of Tadiyoshi Yamamura who had plagued the animated series with his poor designs. As for the voice acting, while I haven't had the pleasure to hear the English cast yet I can assure fans of the Japanese version that they bring out some of their best performances yet. Especially the voice acting of Katsuhisa Hôki as Paragus, he completely knocks it out of the park with arguably the most complex character. Aya Hisakawa, who had the incredibly hard job of replacing Hiromi Tsuru was also more than adequate. Other highlights include Nana Mizuki as Cheelai and of course Masako Nozawa for multiple characters.Overall, I am happy that Toei Animation finally took the steps necessary to evolve their most valuable series through this movie and I hope this continues in the years to come.Dragon Ball Super Broly is one of the best animated films of the year and provides you with Akira Toriyama's trademark humor and out of this world battles, which is only taken to the next level by the fantastic direction of Tatsuya Nagamine.","10/10"
"abirchy-96827","17 February 2023","At first I read the reviews before watching the movie. If anyone is reading this, then will now that most of the reviews are kinda bad. So I almost had no expectation before watching the movie... But after watching it my view changed...
I personally enjoyed it a lot....Phase-5 started with a blast!!!Spoiler Part :::::::
I think they didn't justify Modok too much like ""Taskmaster"" in Black Widow..But that's not a big problem as Modok is not the main villain,, Kang is... Kang The Conqueror's (exiled one) story and action scenes were greatly organized. I personally liked it... Some people may have problem with Kang being defeated in the end by Scott and Wasp.. I also personally think that shouldn't have happened as in the future Kang Dynasty will happen... But it's not like the end of the world. There are lots of good things in the movie.. Dialogues were also good....Midcredit scene really showed a clip of Kang Dynasty. Just waiting how Avengers will fight with all those Kang variants...Post credit scene will blow everyones mind. Our beloved Loki is back.. I am interesting to find out who actually that Kang variant is in the post credit scene as Who He Remains is dead.. Can't wait for Loki Season 2..","6/10"
"Abranth-d","19 July 2019","Here's my review of war for the planet of the apes . So once again Andy Serkis is back as Ceasar and he nails the role . The story is set right where Dawn left off , and despite being a very slow plotline , it still manages to keep you hooked. There is a lot of emotional scenes in this movie and Caesar faces too much tragedy like never before , but a better music score would've given a drive to the emotional scenes. The action scenes had less screen time than the prequels , but had , better CGI and choreography. Woody Harrelson was great as the bad guy , and his arguement with Caesar raises a lot of philosophical questions. The best thing about this movie is that it makes you root for the apes even though you're Human. In the end , "" war "" is an ape-tastic movie with ape-tacular action , great characters , a very slow plotline and a perfect end to a perfect trilogy.","10/10"
"abuzein","18 January 2019","Don't walk in expecting dragon ball z, because this is NOT a dragon ball z film. This is however a dragon ball super film and decent at best. If you like Frieza dB super movie you'll like this not love it. If your like me and didn't care for the frieza db super movie then this movie is a huge disappointment. NOT a dbz movie. Db super","9/10"
"academic-drifter","16 January 2024","The origin of this revenge fantasy isn't hard to imagine. My guess is that the writer (whose track record in recent years consists largely of writing scripts for completely unnecessary remakes of great action films) was persuaded to give money to a Nigerian prince or invest in NFTs, and decided to get payback by making them the villains of an action piece. Only having Jason Statham beat up a bunch of crypto bros seemed like an unequal contest, so he needed to up the stakes - with extreme prejudice.Thus we get a film in which a bunch of suspiciously well-organized scammers clean a sweet old lady (played by Mrs. Huxtable herself, so you know she's pure goodness) out of her life's savings. Unbeknownst to them, she rents out her barn to a beekeeper who decides to take revenge. Only he's not just a beekeeper, but a retired ""Beekeeper"", a former member of an ultra-secret elite extralegal organization created to maintain ""balance in the system"" by any means necessary, provided those means are violent ones. What could possibly be wrong with that?And with one phone call to his former employer, ex-Beekeeper Statham (his character has some typically generic name that is utterly unmemorable) gets needed information that federal law enforcement has been unable to obtain for years. And with it he begins to work his way up the chain to the very top, brushing aside with casual indifference challenges that would stymie anyone else. Armed thugs, SWAT teams, and ex-Special Forces operative are shrugged off with just a few moves. Injuries that would immobilize or even kill lesser people are mere annoyances to him, handled with a grunt and an application of a piece of cloth to some random part of his body. T-800s would envy such durability.More concerning is the recurring condition from which Beekeeper Statham has suffered that has caused him to internalize both his title and his pastime, to the point where every conversation with him degenerates into a series of beekeeping metaphors. Evidently this is a viral illness, as others he comes into contact with or who even learn of his existence soon spout the same inane analogies. With it comes a sort of resigned acceptance that all this murder and property destruction is necessary to protect ""the hive."" At this point Mrs. Huxtable has been forgotten five crimes scenes ago save by her daughter, who happens to be an FBI agent and who manages to figure out everything with the help of a beekeeping manual. Yes, it's like that.To be fair, if you like this sort of thing it's not the worst movie in the world. The ""system"" is saved, bad guys get their just desserts, and Beekeeper Statham lives to beekeep in the sequel (if any of this constitutes a spoiler to you, welcome to action films). The greatest crime on display in it, though, isn't the scamming or the murder or the property destruction, but the utter waste of acting talent, as several award-winning thespians are asked to do little more than deliver their lines on the way to cashing their checks. The only one who really threatens to run away with the movie is Josh Hutcherson, who plays a classier version of Donald Trump Junior with a degree of panache that threatens to make the movie fun. But then David Ayer's questionable camera angles and his need to showcase Statham's evident case of facial paralysis intervene to ensure that he does not prove to be the true hero of the movie by saving it from the tedium of predictability. But hey, at least scammers will think twice about scamming lest a Beekeeper gets them, right?","3/10"
"acdc_mp3","2 July 2023","I initially decided I was not going to see this movie based on how utterly horrible the last one was. I refuse to say the name of it. I decided it would be nice to see the movie with my wife so I went. I figured worse case would be I have a nice nap in the cool theater on a 105 degree day.The movie did started off with some CGI magic that usually puts me right to sleep, but this was pretty different and for the most part, kept my interest.The movie was built around a bunch of chase scenes that once again, usually put me to sleep, but they were short and to the point for which I was grateful.The story line is what held me and I found it intriguing. Let me put it this way: It was a million times better than the unmentionable piece of dung that was the previous installment.The movie was long, but it was very watchable and I did not take a restroom run even though I had to for the last hour.Harrison Ford's performance was much better than what I expected and the cliches were held to a manageable level.The rest of the cast did a solid job and there was no one who was annoying or took away from the movie in any way.Truth be told, I thoroughly enjoyed this movie and will see it again.","6/10"
"aciarleglio-1","1 July 2023","First of all the people saying it didn't need to be made, I will never understand why people can't just enjoy more movies on characters and themes they love. I feel like people always have this ridiculous level of expectations. It's Indiana Jones!!! It's adventure... It's action... suspense.... FUN! Remember when movies could just be fun without every part if it being ripped apart by couch critics??? That most likely have 0 creativity themselves. I really get disgusted by the fact that people can't just enjoy films for what they are. Entertainment. I thought this edition of Indiana Jones was exactly what I hoped for. Fun. Adventure. Nostalgia. Treasure. Borderline mystical. Great job to everyone involved making it. Now I hope they find a way to bring back a version of Indiana for future adventures. I don't care about people that complain about leaving alone what has been already done. I want more adventures. Much like James Bond, we can have more adventures even if it's not the same exact actor. Or create a new character to take up where Indy left off. Just lets have more adventures to remember.Just one real fan's opinion.","6/10"
"ACollegeStudent","13 December 2021","Rating: 8.6Not as good as Infinity war pacing-wise, but is a satisfying ending to the saga. High production quality, and a great soundtrack like its predecessor. The final fight did feel a little cliché (two armies brainlessly charging at each other for a typical smackdown). Not much to write about, it made every marvel movie before it worth the ticket.","8/10"
"ACollegeStudent","17 December 2021","Rating: 9.0This went where no other mainstream superhero movie went and killed everyone, allowing Thanos to win. The biggest flaw I can think of with this is that there are other ways to achieve Thanos's goal without killing everyone, and there were some plot grievances like Corvus Glaive somehow sneaking all the way to Shuri in the battle unnoticed, and them not just digging under Wakanda's shield to begin with (they did later in the battle). Also, destroying an infinity stone should cause the universe to collapse in some way as explained in Endgame about taking stones from universes, so I'm not sure why none of the main cast raised this issue when destroying the mind stone was ratified into their gameplan (they might have not known better, though). Otherwise, great pacing, a great soundtrack, crisp visuals, seamless comedy, a compelling and humanized villain, and a haunting ending.","10/10"
