"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"christiam-51976","6 April 2023","Some people are taking this movie too seriously. This movie is just supposed to be fun and colorful and not to be taken like a tarantino movie or something. Of course the plot could be improved a bit here and there but it's actually a really fun and entertaining movie when you just enjoy the ride. If you're a big fan of Mario you will absolutely love this movie 100%. I felt like a little kid again when i saw all the characters and easter eggs in every scene. The animation was insanely well done and i believe they could've made the movie a bit longer to expand on the world a bit more and get to know each character more but that's about it.","
            8/10
            "
"educunhaholanda","8 April 2023","If you only watch the movie with the intention of having fun, you will certainly have a good experience with Mario. However the plot is quite bland and the movie runs at a very fast pace between one scene and another, hampering the progress of the story.Also, if you haven't played the Mario games, you'll fail immeasurably to pick up the game references that are scattered throughout the movie, and there are many of them. For anyone who's a Mario fan, this movie is literally fan service and it's no wonder why they're giving it a 10.For me, this movie doesn't lived up to the hype, but for a Mario fan, it certainly did.","
            7/10
            "
"Arts-student","21 April 2023","As a purely fluff piece - it's fun, bright spirited, and enjoyable for families. A movie that has all of the elements you'd want represented from Super Mario bros video games, and as a bonus, it also showcases Mario cart and donkey kong junior. The animation is strong, the worlds are exactly like the video games and truly fun moments for kids. The runtime is great and the movie moves along without pause.AND I expect better, higher quality movie making.The voice acting in this movie is so lazy. Chris Pratt is forgettable-anyone could have done better voicing such a beloved character. Princess Peach is the same - voice acting is boring and fairly emotionless. The worst voice acting belongs to Seth's terrible Donkey Kong junior - not a single attempt to make an actual character voice, just Seth's normal voice slapped on Donkey Kong. Toad's voice acting is also meatless and without any real jokes.The script is mostly empty and there is little to no attempt at character motivation, organic character decision making - for example, why Princess Peach tells Mario he can come with her to save her kingdom. Almost every opportunity to make a joke is skipped. None of the characters have stated goals aside from King Koppa.And saddest of all to me, there is no attempt to create backstory or give context to these beloved worlds and characters.","
            5/10
            "
"ColinTheGorilla","9 April 2023","This movie is so much damn fun and I absolutely loved everything about it. The composing in this movie is some of the best I've ever heard and it fit so well in the movie. The voice acting was pretty good too and I didn't think Chris Pratt would be any good as Mario but he was actually pretty good but Jack Black stole the show as Bowser as he absolutely killed his role. Charlie Day was great too as Luigi as he was probably my 2nd favorite in the movie. The only problem I have with this movie is it felt so quick and I wish it was longer and it's only 90 minutes. Other than that this movie is just a ton of fun and worth the watch.","
            8/10
            "
"javier_8","14 April 2023","First of all: This is A MOVIE FOR KIDS, it's not for grown ups, don't be a 30-something or 40-something years old and expect to see the best movie of your lifetime. It's not gonna happen, it's a kids movie.When I was a kid I saw the old Hopkins-Leguizamo movie... OMG, it was horrible. I get it, we didn't have CGI back then, but an animated movie like this one would have been amazing. Waaaay better than that... garbage of a film.This new one explores all the common elements of the franchise, beautifully crafted world with attention to details. My 7 year old girl LOVED IT. I was kinda bored, but she loved it, this rating is for her, that's what's important, it's a movie for kids, they should rate it.There are a lot of man-childs on the internet criticizing it. Don't listen to them. If you have a kid who loves Mario just take them, no doubt about it. If you're a nostalgic grown up, you're not going to have a bad time, but it's not what you expect, there are like 1 or 2 ""grown up jokes"", that's it, it's not like those disney movies that have a lot of hints for grown ups, this one doesn't, it's a KIDS MOVIE as it should be.I get that grown ups need to be entertained, but it shouldn't be the rule, the most important thing is that kids love it.","
            9/10
            "
"Johnny-the-Film-Sentinel-2187","5 April 2023","**Possible Spoilers**30 years since 1993's fever dream live-action nightmare, The Super Mario Bros. Movie rights the wrongs of the last one; though it's certainly not a perfect movie, it's perfectly fine for what it is, and as family entertainment goes I've seen far worse than it. And with the gorgeous animation, the faithfulness to the games and the music, Chris Pratt and co. Do their best with the same old 'Mario comes to save Peach' storyline being worn thin at this point.Sure the film's problems can be dissected to the nth degree on YouTube retrospectives talking about the movie, but it is what it is and it works where other blockbuster fan-service vehicles have failed (like Terminator: Dark Fate, Ghostbusters 2016 or The Lion King 2019). And Mario (at least Nintendo) has the potential to become a cinematic powerhouse that defies the 'bad' press and reviews (they're more mixed for the movie).The film is basically feature-length comfort food more than anything else; and considering it's a family film that's pretty harmless, I'd say it's done its job more than well. Certainly better than Illumination's other more recent films I'd say.The Super Mario Bros. Movie is the safest kind of cinema, and maybe some people should accept what they see; but not everyone has to. Besides, fun is fun. 3.5/5 stars.P. S. Could this film lead to other stuff like Zelda hitting the big screen? Or maybe even Metroid? Who knows?","
            7/10
            "
"cruise01","9 April 2023","5 out of 5 stars.The Super Mario Bros movie is an awesome animated adventure film that is one of the best adaptation of a video game series. It has everything you can ask for. Its like an open world of nintendo game series like Donkey Kong making an appearance.The film is fast paced. The plot is good. It has a story about the bros. The film features a lot of easter eggs that can hint for more movies. The action sequences are awesome. Bowser is an awesome villain. The animation is beautifully done and stunning. The voice talent is also great.One of the best sequences involving a mario kart chase on a rainbow road is insane. Fans and kids will love the series and love how everything is put together in this film. Overall, i love everything about the film. I can not wait for more.","
            10/10
            "
"cplushie","8 April 2023","As a Mario fan myself it was a very enjoyable and fun action packed movie. While watching I just couldn't wipe the smile off my face. Jack black did an amazing job with voice acting bowser. Everyone did a great job and while I do agree Chris Pratt could have been better i got use to it really quick and im sure pretty much everyone else will too and besides, the Italian accent in the games is great but definitely not meant for a 80 minute movie. The plot is very simple which is good however because a Mario story shouldn't be complex at all and the people at illumination definitely know how the games should be. Speaking of that, you can tell the people behind this movie put a lot of heart into it. Definitely give this a strong recommendation if you like Mario or have childhood memories with Mario in any way or just wanna watch an enjoyable family movie.","
            9/10
            "
"knives123","6 April 2023","I love Mario, and I enjoyed this movie, and so did my 7y/o. But with that out of the way I'll be honest - this movie is quite bad, as movies go. The story is barely present, every scene leads into the next with very little plot or agency - things just happen, characters just need things, that place is suddenly a karting city, that other place has an elevator leading up to a castle straight up a cliffface. The script is probably just screams and the a few catchphrases. It's all held together by nostalgia baiting, references and pandering, wrapped in Minions slapstick. It is all barely coherent. There is also a thing to be said about the music which was murdering classic tunes, some of which is just shockingly bad.Is it a Mario movie? Sure. Is it a fun Mario product for the whole family? Yup. Is it a good movie? No, not really, in fact I'd give it a 6 if I am honest; not awful, but that's about it. So if you are 8 or a Mario fan - sure, you are likely to have a blast. But if you're just a person looking for a fun animation movie wholy uninvested in Mario? Nah, you can probably pass on this.","
            6/10
            "
"dfreyberg_rocks","5 April 2023","I went to see the highly anticipated Super Mario Bros movie tonight with my mum, whom was my gaming buddy back in my childhood days. We'd spend hours playing Mario All-Stars on my dad's SNES, and later on we played on our Mario edition Wii.As a gamer, this movie was a promiseland I wish I could stay in forever. Admittedly, I was sceptical about Chris Pratt voicing everyone's favourite Italian plumber, but he did a superb job and he deserves a lot of praise for his dedication to the role. From learning about power-ups, to fighting against Donkey Kong, and to racing along the infamous Rainbow Road with all the drifts we've all performed countless times on MK8 and its predecessors, this movie is a huge dose of nostalgia for millennials, and a nice introduction for the younger generations.My hat goes off to Mr Jack Black for his awesome job bringing the big, bad Bowser to life on the silver screen. He was the primary reason I wanted to go and see this movie so badly, and he did exceedingly well.","
            10/10
            "
"webslinger-00280","5 April 2023","The story was simple, but worked wonders with the excellent characters that perfectly reflected their game counterparts. They even had unique aspects given to them that helped them stand out in all the right ways. The action was phenomenal with great depth and detail that shows how much work was put into this. There were so many nods and references to other classic Nintendo properties that you'd want to go back to find them all. And Charles Martinet is in this with a small but great role. But with all that said, it does mess up its flow with some of the music. Definitely not the original score though, since it mixes the classic music with an epic and emotional tone. But the copyrighted music Illumination probably payed a third of their budget for felt out of place in this film and took me out of the experience a couple times. Other than that, it's an amazing that I'll gladly watch again.","
            8/10
            "
"ashfordofficial","16 May 2023","The animation was superb and eye-popping. Illumination really stepping up their game. Unfortunately the movie was a bland, witless and flagrantly pandering production with a weak and dull direction and screenplay. I didn't liked most of the mediocre VA performances and in my opinion Chris Pratt as Mario was an unfortunate miscast. The standout and probably the best performance was Anya Taylor-Joy as Princess Peach.The movie was a monotonous mess from the beginning to the end. Shoehorned pop songs were a distraction and also an embarrassment (You guys ain't James Gunn). The ending had too much cringe and it was an unsatisfying conclusion to a tasteless fan service.","
            4/10
            "
"namob-43673","18 April 2023","The headline basically tells the story. This is not a good movie. Anyone who claim this is a great fantastic movie probably have some issues. But this is neither as horrible as I see some people argue. This is just a middle-of-the-road sometimes funny decently entertaining movie with bad music and very lazy writing.The good is that this is decently fun, even funny a few times. And if you are a fan of the games, especially Mario Cart, you will smile through many scenes. The voice acting is great, and if you are a simple kid you are likely going to love this. Sadly there ends the good stuff.The bad starts with the story, or rather lack thereof. Because it is as simplistic as the games which is both a strength and a weakness, but mostly a weakness because this movie offers nothing. It is actually kinda soulless and cliche. The music is mostly atrocious. Just put on Mario Cart music on bad speakers and you basically have this movie. But what really bothers me though is that the lack of story and very simplistic writing which feels so lazy. No one really cared. They only wanted to make a fast paced Super Mario Movie with as many callbacks and in-house jokes as possible, and that is it. There is no deeper meaning, nothing new, no real character development, nothing worth noting. Also most of the fun stuff you already saw in the trailer, it is not much else. So lazily done.Sure you might have fun watching this, because it is not a bad movie, but will you remember this a few weeks from now? Will this be a classic? Do you want to see more? The answers to those questions is a big ""No"".In the end I give this a 5/10. If you have kids you think you might like this or you are high and want to get away from reality for a while, perhaps go see this. For the rest of you this will be a Meh at best.","
            5/10
            "
"keystone_koasters","5 April 2023","As a Super Mario fan myself, I was hyping this movie up for quite a while. So was it worth that hype? Yes and no. The references, animation, voice acting, and world building are incredible. But, there's a lot of filler and the plot isn't that good either. Despite that, I still really enjoyed it. Though admittedly kinda unnecessary, I really enjoyed watching the Mario Kart section. Same with the Luigi stuff, especially the ""you just got Luigi'd"" line. Though there are some other problems like Toad not really being funny, and this movie is kinda boring sometimes, but it's mostly pretty entertaining. So overall, solid 7/10 movie, must watch for Mario fans but it may not be for everyone else. If you want a Mario film that's an actual masterpiece, go watch Cute Mario Bros The Third Movie. It's not really based on the series, but besides that it's incredible.","
            7/10
            "
"SimonsRants","7 April 2023","Completely unmemorable. I didn't hate anything in the movie and even kind of enjoyed some of the funnier moments (Jack Black as Boswer steals every scene he's in) but it was so unoriginal and so formulaic it felt like a cliff notes of a plot rather than an actual plot. I'm still in the parking lot of the theater and I'm struggling to remember anything about the movie. Just the epitome of mediocre.I think it's also about time we stop hiring famous actors to play animated characters just because they're famous actors. Some of the actors do great in this, but there was absolutely nothing about Pratt's performance that justified him being cast.","
            5/10
            "
"parksiet","6 April 2023","As I started to write this review, I was told I was being too harsh on this movie. I was told to think of it more as a video game playing out on screen, to just have fun with it. And frankly, I have a different perspective, as I will get into. But it just reminds me of the beauty of film; the subjectivity of all our opinions. We can all go into the same movie, and all come out with a variety of different opinions, thoughts, and interpretations. Mine isn't the right one, it is just my opinion. But let me just say, it's a fact that audiences are going to enjoy the heck out of The Super Mario Bros. Movie! My proof? The audience I saw it with went nuts for it, there was lots of cheering and clapping, and a round of applause at the end (reactions I haven't seen since Spider-Man: No Way Home). But while everyone else was clapping at the end, I was sitting there thinking to myself: ""That's it?""Before you try and guess where this is going, NO I did not hate this movie. I enjoyed myself the whole time and loved so many moments in it. I have played Mario games all my life, especially lots of Mario Kart, so seeing these iconic characters and locations on screen was a blast. There were so many references that made me smile, and I even loved how cues from the music in the games were used in the score here. The whole movie has many great moments, from the Mario Kart scene to the Donkey Kong vs Mario fight, to the training scene in the Mushroom Kingdom that plays out exactly like me trying to play the games (a real struggle). But your liking or disliking of this movie really comes down to how far these Mario-isms go for you. The plot is simple, hollow even. The Illumination style doesn't help. But the Nintendo stuff is exactly what you want. So if you are a fan of Mario, you'll have a good time! If not, this movie probably isn't for you, you'll probably come out of it confused about why so many people are loving it. Me? I think I've established myself as very mixed.And yeah, some of you are going to say I'm being too harsh on this movie. Trust me, I don't want to be, nor do I think I am. I did love the Mario stuff, I just really would've liked an actual script next time... it plays more like a demo of the world of Mario. The movie is still really cute and perfect for kids, it does a great job of capturing the spirit of the games and the excitement of the set pieces, it is just a pretty hollow script that barely operates as a narrative feature. Mario, Luigi, Peach, and Toad are all very blank slate characters (although this is perhaps at the request of Nintendo, maybe they didn't want overly specific versions of these marquee characters). Really, I think most of my issues stem from the Illumination side of things. This movie has all the same qualities as any other Illumination film, from Minions to The Secret Life of Pets: it's got 20 gags (or references) per minute and really moves fast through story and character moments - it feels like a movie speed run. I would've liked it to slow down more, explore more of the world and get more time with the characters. It also had some humor that didn't work for me, but seemed to work for people around me (singing Bowser wasn't my favorite). But frankly, I really can't fault the movie for all this, it did what every other Illumination film does. So it's easier for me just to accept that maybe Illumination's style isn't for me. I prefer the Pixar or DreamWorks style, or if we're talking about this type of movie, I prefer The LEGO Movie or the two Sonic films as those were both very good stories with thematic elements while honoring their source material (and being very charming films too!)The voice cast was actually decent! I don't always love Illumination's insistence on hiring big-name actors over voice actors, but it worked here for the most part. Jack Black was awesome as Bowser, same goes for Anya Taylor-Joy as Peach, and the rest of the cast was pretty good too! But here's the big question: how was Chris Pratt's Mario voice? And the answer - it was fine. He did well for what they had him do, although I didn't love that this Mario had a Brooklyn accent over the classic Italian one. I thought it worked for the most part, but I still would have preferred they just use the original Mario voice.I can be critical all I want. I could mention how the needle drops were too much, I could go on about the lack of plot, I could complain about how I wished it was longer, but I don't want to. Because as a Mario fan, I loved so many moments here. I was smiling throughout the film. Sure, some things didn't always work, but I had a good time, as did everyone else in my showing. Kids will go nuts for it, it's a great family film. It's so joyful and energetic and feels like a fun adaptation of the Mario games. Plus the animation is fantastic! It's pretty cute, and will be very re-watchable. The movie is by no means perfect, but families looking for a good movie will find one with The Super Mario Bros. Movie! And of course, this will be perfect for any Mario fan!Now, time to go play some Mario Kart!","
            6/10
            "
"BA_Harrison","5 April 2023","There's an awful lot of fan service in The Super Mario Bros. Movie: long-time Nintendo players will certainly have their hands full trying to spot all of the easter eggs. I'm thinking that the writers of the film thought this enough, because they certainly didn't bother coming up with a decent plot. I can see a lot of adults finding the predictable storyline and weak humour tiresome; easily pleased youngsters will no doubt enjoy the rapid pace, crazy characters and colourful graphics, but I imagine a large percentage of those hidden references to games gone by won't mean much to anyone under the age of ten.It's a shame because the film looks great, the different Super Mario worlds brought to dazzling life in a welter of colourful CGI animation that is undeniably impressive. I only wish that as much care and attention had gone into crafting a script worthy of the creative visuals.5.5/10, rounded down to 5 for the 'happy' ending in which Mario's actions result in the destruction of most of Brooklyn, presumably with a death toll running into the tens of thousands. Wahoo -- that's a not so great!","
            5/10
            "
"erick-hernandez","5 April 2023","There are some very minor spoilers ahead, i just want to say that this movie exceeded my expectations! The Critic score should not be taken seriously it's nowhere near a bad nor average movie. There are some things that i didn't like about it but overall i left the theaters with a smile.The Visuals are probably the best Illumination Studios has ever done, very smooth and gorgeous to look at. The human characters like Mario, Luigi and Peach's faces look different from their videogame counterparts and kind of weird at first but you will get used to them and at least their clothing match but on the other hand the animals and creatures from the Mushroom Kingdom like the Koopas, Donkey Kong and Bowser all look very accurate and detailed.The Voice Acting, Sorry but Mario does NOT sound like Mario, at all in this movie! I'm not a fan of Chriss Pratt's acting as Mario. Luigi sounds better but not accurate either, Peach is good i guess and Donkey Kong sounds like Seth Rogen...Yay... Bowser however, gets a straight 10/10 Jack Black actually tried to sound like Bowser and he should be cast again as Bowser in future movies. Long time Mario fans will be surprised to know that Charles Martinet is also in the movie, but not as Mario... The character he got to act for is such a waste and not even worth mentioning to be honest.The Story is not your typical Mario videogame story, it's actually baffling at first how literal they took the Mario ""origin"" story of him being a New York plumber. The movie starts going in the wrong direction but as the movie goes on it becomes better and better and ultimately it worked in the end. The pacing is very fast there is no real character development except for Luigi and maybe Mario but there's just too many relevant characters and not enough time to flesh them out. At least they all have defined personalities.Overall, it's not an Amazing movie but definitely a fun and good first outing by Nintendo and Illumination, it's full of Mario references and just good fan service like a Mario movie should be. Here's hoping future Mario movies!!And 8 but giving it a 10 to even out the hater trolls.","
            10/10
            "
"nightwishouge","7 April 2023","There was an uproar when Chris Pratt was announced as the voice of Mario. Personally, I don't hate Pratt (although I don't love him, by any means) but it was a disconcerting sign that The Super Mario Brothers Movie might be taking the typical Illumination Studios route of throwing a big-name cast on top of an uninspired script. Now that I've seen the movie, were those fears justified? Yes. Yes they were.I'm not, by most definitions, a ""fan"". Especially by current definitions, which require you to Stan anything you even remotely like to the point of issuing death threats against anyone who dares to speak ill of it. If I like things, I like them for personal reasons, not to tie my identity to them or to take part in some screaming mob. I don't tend to get hyped for, and subsequently disappointed by, the latest big-budget movie. Worst case scenario: I'll forget about it a year from now.But I was cautiously optimistic for the Super Mario Brothers Movie. I'm not a gamer, but like many of my generation I have a lifelong association with Mario. My first video game console was an NES. In high school I played Mario Party and Super Mario Kart for hours on end with my friends. Recently I completed Super Mario 3D World on Switch--probably the first video game I've played all the way through in at least a decade. I guess you could say the franchise is important to me.Beyond the actual games themselves, I like the universe Nintendo has created for Mario. It's colorful and comforting and fun. I like the gentle characters, the imaginative game mechanics, the simple storylines and low-key conflicts. If I ever got an urge to write fan fiction, I'd probably set it in the Marioverse. It might not be great, but it would be sincere and nostalgic and full of the joy that the games have given me. Super Mario Bros., by contrast, feels like it was made by a team that never played a single Nintendo video game, much less understands what is appealing about them.Everything about this is boring. The story is rote and chock full of confusing decisions. The characterizations are flat and dull. The action sequences move so fast, with so little impact, that none of them really matter. The animation is...well, fine I guess, but I'm not giving anybody credit for simply NOT ruining the visually-pleasant environment that game designers have been building upon for forty years.The screenplay--as per usual in such cases--is the culprit. It's the standard kids-movie template with nothing in the way of heart or wonder. Just a bunch of famous people talking fast and pretending that's an inherently funny thing. Every animation studio apart from Pixar is terrified of sincerity these days, so SMB takes the typical approach of being its own episode of Cinemasins by having the characters constantly lampshade every bizarre aspect of the Marioverse that the games have simply taken for granted over the years: ""Okay, so these bricks float in the air, that's normal."" ""Whoa, a talking mushroom, I guess that's not weird or anything."" I think studio executives have this idea that they need to pander to the adults in the audience with these constant self-referential quips or else we'll spend the entire movie laughing at how little sense it makes, but guess what, Hollywood: not every adult is a detached YouTuber who cynically combs through genre movies to crow about ""plot holes"". Some of us just want to invest in a fantastical world without reservation. Some of us want to go on an earnest adventure without a jaded peanut gallery continually cracking wise and undercutting everything that makes a magical realm special. Can you imagine how insufferable Peter Jackson's Lord of the Rings trilogy would be if every other line was Aragorn being like, ""Okay, an evil wizard made a ring that turns people invisible. Random!"" Then he leads a a ghost army and Galadriel shows up for no reason other than to deliver an aside like, ""Well, THAT happened."" Raise one eyebrow to show how unflappable and nonchalant she is. Then she does kung-fu or something because STRONG FEMALE CHARACTER (who will be completely marginalized in the third act so the men can save the day).So yeah, all the usual criticisms. A talented cast with nothing interesting to do. A shallow story that has no meaning and serves no purpose except to link together a bunch of pre-existing things you already know you like. A sense of humor that plays into the modern ""alternative"" comedy tradition of standing outside of things and ironically observing them rather than participating and having genuine feelings about things. A stupid and obvious soundtrack with thirty-plus-year-old pop songs. (That's especially egregious when Mario games have amassed possibly the most iconic musical library of all time. Does the tired training montage really benefit from the made-famous-again-by-Shrek-2 Bonnie Tyler hit ""I Need a Hero"" when it could be using, I don't know, ANY Koji Kondo track?) A movie that chooses to keep apologizing for its own existence rather than having any fun whatsoever.That live-action adaptation just keeps looking better and better.","
            4/10
            "
"Mauseum","18 April 2023","Graphics were fine, nothing spectacular. Bowser was only interesting when he was being menacing and any other time he was just stupid. Mario and Luigi had no connection. Peach was meant to be a strong and empowering female, but lack any depth. Toad was really bad. King was ok but Seth's stupid laugh was exhausting. Basically, besides the Nintendo references, there's not much to this movie. It just moves from one action scene to another with some stupid offset comedy between scenes. I was expecting something similar to Wreck it Ralph in style, heart and storyline. But by the end of it, it just feels empty and my kids didn't like it either.","
            2/10
            "
"evanston_dad","31 July 2023","I spent hours of my life playing Mario Bros. On the Nintendo way back in the day. I came into this movie expecting to wallow in the nostalgia of it.However, after an admittedly hilarious opening scene, I realized quickly that this movie was going to be a cynical cash grab banking on people exactly like me not caring whether the movie was good or not as long as we got our Mario fix. Well no, not good enough. Would it have been too much to ask that the film be both a loving homage to a popular game an an actually good movie at the same time? Apparently so, because this movie devolves into crappy chaos by the time it's over.Grade: C-","
            5/10
            "
