"","Category","Title","Price","Rating","BrandDescription","ReviewStars"
"14","Crafting Supplies","Mod Podge CS11302 Waterbase Sealer, Glue and Finish, 16 oz, Matte","$4.71","4.8 out of 5 stars","Mon, Jan 29   FREE delivery Mon, Jan 29 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 ",NA
"15","Crafting Supplies","Scissors, iBayam 8"" All Purpose Scissors Bulk 3-Pack, Ultra Sharp 2.5mm Thick Blade Shears Comfort-Grip Scissors for Office Desk Accessories Sewing Fabric Home Craft School Supplies, Right/Left Handed","$9.99","4.8 out of 5 stars","Sun, Jan 28  10% coupon applied at checkoutSave 10%  with coupon ",NA
"16","Crafting Supplies","ELMER'S Disappearing Purple School Glue Sticks, Washable, 6 Grams, 12 Count","$5.94","4.8 out of 5 stars","Mon, Jan 29  Save more with Subscribe & Save",NA
"17","Crafting Supplies","Yexixsr 566PCS Safety Eyes and Noses for Amigurumi, Stuffed Crochet Eyes with Washers, Craft Doll Eyes and Nose for Teddy Bear, Crochet Toy, Stuffed Doll and Plush Animal (Various Sizes)","$6.99","4.6 out of 5 stars","Sun, Jan 28   FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 ",NA
"18","Crafting Supplies","Goo Gone Adhesive Remover - 8 Ounce - Surface Safe Adhesive Remover Safely Removes Stickers Labels Decals Residue Tape Chewing Gum Grease Tar","$8.21","4.6 out of 5 stars","Sun, Jan 28  Original8 Fl Oz (Pack of 1)",NA
"19","Crafting Supplies","YRYM HT Clear Vinyl Transfer Paper Tape Roll-12 x 50 FT w/Alignment Grid Application Tape for Silhouette Cameo, Cricut Adhesive Vinyl for Decals,Signs, Windows, Stickers","$15.99","4.6 out of 5 stars","Sun, Jan 28  8% coupon applied at checkoutSave 8%  with coupon ",NA
"20","Crafting Supplies","Scotch Thermal Laminating Pouches, 3 Mil, 200-Pack, Education Supplies & Craft Supplies, For Use With Thermal Laminators, Letter Size 8.9 x 11.4 in.","$27.89","4.8 out of 5 stars","Sun, Jan 28  Save more with Subscribe & Save",NA
"21","Crafting Supplies","Cricut StandardGrip Machine Cutting Mats 12in x 12in, Reusable for Crafts with Protective Film,Use with Cardstock, Iron On, Vinyl and More, Compatible with Cricut Explore & Maker (2 Count) ,Green","$6.49","4.9 out of 5 stars","Sun, Jan 28   FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 ",NA
"22","Crafting Supplies","Aleene's 23473 Fabric Fusion Permanent Fabric Adhesive ,Clear,4oz","$6.36","4.2 out of 5 stars","Sun, Jan 28   FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 ",NA
"23","Crafting Supplies","Goo Gone Original Liquid - 8 Ounce and Sticker Lifter - Surface Safe Adhesive Remover Safely Removes Stickers Labels Decals Residue Tape Chewing Gum Grease Tar Crayon Glue","$11.28","4.6 out of 5 stars","Mon, Jan 29  Citrus8 Fl Oz (Pack of 1)",NA
"24","Crafting Supplies","Amazon Basics Multipurpose, Comfort Grip, PVD Coated, Stainless Steel Office Scissors, 3-Pack, Purple, Green & Gray","$12.34","4.8 out of 5 stars","Sun, Jan 28   FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 ",NA
"25","Crafting Supplies","28-Pairs(56 Strips) Large Picture Hanging Strips Heavy Duty, Removable Hook and Loop Tape, Picture Hanger Damage Free, Adhesive Strips for Frame Hanging and Christmas Decorations","$13.99","3.9 out of 5 stars","Mon, Jan 29   FREE delivery Mon, Jan 29 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 ",NA
"26","Crafting Supplies","Glue Gun, Mini Hot Glue Gun Kit with 30 Glue Sticks for School Crafts DIY Arts Quick Home Repairs, 20W (Blue)","$9.99","4.6 out of 5 stars","Sun, Jan 28  Join Prime to buy this item at $8.99",NA
"27","Crafting Supplies",NA,NA,NA,"NA NA",NA
"28","Crafting Supplies",NA,NA,NA,"NA NA",NA
"29","Crafting Supplies",NA,NA,NA,"NA NA",NA
