"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Sleepin_Dragon","4 October 2023","Poor, how many of us grew up loving Harrison Ford's Indie? The super cool action hero, brave and fearless, with a sense of humour... that wasn't the character I saw here.The first fifteen minutes or so, I loved, it felt like a scene from Temple of Doom, terrific, action packed, a heroic Indie, sadly the rest of the film very, very poor. I came away from the cinema feeling depressed, he's now a sad character, but fear not, Helena, the epitome of privilege will save the day.Horrible CGI effects, way too many, some of them looked awful, I can't believe some of the scenes made it through to the final cut.Ford put his usual effort in, how sad though that Indie ended this way, Disney you've well and truly done it again, that's another much loved franchise sent down the pan.I get the appeal of Fleabag, but Phoebe Waller Bridge was totally miscast, Helena was just loathsome, conceited, arrogant, too smarmy, what on Earth were they thinking?I'm genuinely stunned at how positive some of the reviews are for this movie, having recently watched Temple of Doom, and loving every minute, then watching this mess.....Sorry, I thought this was abysmal. It should have been a fun send off, instead is was just depressing.3/10.","
            8/10
            "
"Flak36","29 June 2023","I just returned from the theatre and now I finally have my own opinion after so many mixed reviews. Those who hate it exaggerate just as they did with Crystal Skull.I know that nobody asked for a fifth movie. But they made one and fortunately for us it's good. It truly is and it doesn't have to be perfect.There were three or four moments where I didn't like Helen. I believe the vast majority of fans know what I'm talking about and agree with it. The rest of the movie is fantastic, including the opening action sequence in 1944 with the de-ageing.The finale was something I would never have guessed and I loved it. No spoilers. If you're like me and you're worried that this movie might suck go watch it. You will enjoy it.","
            6/10
            "
"SoumikBanerjee1996","4 September 2023","Indiana Jones movies were not always about the action or the grandeur, and they also showcased significant character dynamics, convincing comedic punches and, most importantly, the quirky, over-the-top nature imbued deeply in their expositions.All the things that this newer reboot/expansion has missed out on.Now, many might argue that modern-day filmmaking necessitates a modern-day approach and new-age sensibilities, and I could have agreed to that had it not been a part of a widely celebrated franchise!When you think of an expansion, taking the reins of a beloved series, you're obliged to give the audience a fan service. There's only so much room available for amendments. I like James Mangold as a director and adored some of his previous works (Logan, Ford vs. Ferrari). I do believe he's a capable filmmaker, but he hadn't done justice here.The kind of comedy that I treasured during my visits to the previous entries of the series was nowhere to be found. Phoebe Waller-Bridge seemed like a misfit in this universe, and as if that wasn't bad enough, the pacing was also horrendous. The 150 minutes of runtime occasionally wears you down; you would feel the stretch of time, and that's not a good indication.The only positives to take away from this film are the barrage of action blocks and Mr. Jones himself. I've always cheered for Mr. Ford in this character, and I genuinely believe he was born to play this role, and he does play it effortlessly every time. This was no exception. It's such a pleasure to watch him play this character.We will miss you, Indy!","
            4/10
            "
"Jeremy_Urquhart","30 June 2023","With a heavy heart, I think I have to concede that Indiana Jones and the Dial of Destiny is not good. It's probably even bad, because even the parts that are sort of entertaining ultimately disappoint.Take for example the prologue with a de-aged Harrison Ford. The technology used to do it is impressive, and only looked awkward in a couple of shots for me. It's Indy adventuring during the end of World War II, and it almost captures the adventure/action you'd want. However, it's so dimly lit that barely anything can be seen. It's probably to disguise the de-aging, but it's disappointing. The stuff you can see isn't particularly great, but it fares better than the next couple of big action scenes.These are spaced out over the next 80 to 90 minutes. Said 80 to 90-minute stretch is honestly very boring. Harrison Ford is trying, and John Williams' score is pretty good. I usually like Phoebe Waller-Bridge, but her character didn't work for me. Barely any of the humor landed. The action is incredibly dull and quite often poorly shot. Ford himself isn't in much of the action, which is understandable, but it also begs the question of why they even bothered trying to make an action movie with an 80-year-old man.I swear characters enter a hotel at night, and they come out the front door five minutes later and it's the middle of the day. Why did they bring John Rhys-Davies back without giving him anything to do? Why was Antonio Banderas in this for like, five minutes? Why do they think audiences will care that Banderas and Toby Jones play ""friends"" of Indiana Jones, even if they've never been seen or mentioned before this film? Why does Hollywood keep wasting Mads Mikkelsen?The final half-hour is sort of fun, but it concludes very abruptly and awkwardly. Some people will hate where the movie goes regardless, but I thought it came close to giving the whole thing a pulse. The final scene itself sounds like it should work on paper, but it did nothing for me emotionally. As I walked home, I liked the movie less and less, the more I thought about it.It's so lifeless and uninspired, and even if maybe a third of it is passable, the rest is a combination of boring and baffling. Even if you're a big fan of the series, I wouldn't bother. This is a good deal worse than the other four.","
            6/10
            "
"cricketbat","28 June 2023","Indiana Jones and the Dial of Destiny is better than Kingdom of the Crystal Skull, but it's still completely unnecessary. I consider Dial of Destiny to be a second chance at an appendix to Indy's story. The plot of this movie never seems to get out of second gear. In fact, I was surprised when I realized the climax of the film had passed. Phoebe Waller-Bridge is fine in her role, but she seems to be trying to steal the spotlight at times. And while the de-aging visual effect has improved, it just doesn't look quite right. For me, Indiana Jones is still a trilogy that concludes with the Last Crusade.","
            7/10
            "
"boblipton","9 July 2023","I had a great time looking at this movie, until I started to think about it and what it meant. Here's 81-year-old Harrison Ford portraying 65-year-old Indiana Jones in feats of derring-do that would have put me in the hospital, if I was lucky, at 30. The movie was preceded by coming attractions of movies that feature 70-year-old Liam Neeson taking on a maniac who has planted bombs everywhere, and sixty-two year old Tom Cruise saving the world and his wife by running very fast and jumping a motorcycle off a cliff, even though the mission is impossible.I am old enough to remember when Clark Gable did his own stunts in THE MISFITS, and promptly died of a heart attack. He was fifty-nine when he died. It's certainly true that people can keep active and healthy and relatively youthful looking longer than they used to. Neither do I expect any sensible movie star to say ""Certainly I am fit and quite able to do this, but keep your tens of millions of dollars, Mr. Producer."" Likewise, the movie industry hasn't come up with much in the way of fresh ideas since W. K. L. Dickson directed BLACKSMITH SCENE in 1893. Nor should they. Their job is to take hundreds of millions of dollars, shepherd them through the movie-making process like Oscar Meyer moving cow parts through the frankfurter-making process, and come out with something north of however much moolah went in. Since at least 1893, audiences have demonstrated time and again that originality serves little to no purpose in the effort. The wise producer has taken heed.And so, men -- and women, since Jane Fonda has been forced from retirement -- who should be spending their golden years enjoying their well-earned leisure, or engaging in roles that reflect the wisdom and dignity, and even problems that used to accrue to our elders to so do -- continue to pretend to run fast, get shot, and bounce back like rubber balls. And why do they do it? Because the producers keep offering them absurd sums of money. And the producers do that because we, the movie-going public, insist on it. Arnold Schwarzenegger has proven himself a smart and wise enough guy to get himself elected governor of California, and remains a voice of reason, passion, compassion, and love of democracy in our often fraught times. Yet he's still in demand in the movies, but only as a cigar-chomping tough guy toting a machine gun like it's a pea shooter and intoning ""I'll be back.""He shouldn't have to. He only does it because many people, my age and younger, refuse to admit that we're getting older, and it's time to put away the juvenile fantasies that amused us when we were fourteen. Haven't we grown tired of sniggering at the same things over and over again? Haven't we grown up at all? Don't new problems and pleasures occupy us, or did we cease to grow more than half a century ago? Must the same people put on the same costumes and perform the same roles yet again, because we insist on being adolescents until they drag all our corpses from our Assisted Living facilities and dispose of the remains in whatever fashion is fashionable?No, this is a very enjoyable movie. But until we, the movie-watching public decide to grow up, neither will the movies.","
            6/10
            "
"TheRavenOfAll","20 September 2023","There is no way you can fix the industry and begin producing good movies again if you can still make tens of millions of profit with this bad casting, this bad script, this bad editing and this bad production.I've always thought that nobody worse than Shia LeBeouf could be cast in this franchise but Phoebe Waller Bridge... Wow!Sometimes, as a producer, you should finish the product, then watch it and decide not to release it out of self respect.Even The Kingdom of the Crystal Skull couldn't ruin the legacy for me but Phoebe Waller Bridge managed to do it in 5 minutes.A young Harrison Ford CGI dubbed by the actual one was just tragic.","
            6/10
            "
"TheFearmakers","1 July 2023","For diehard defenders of the entire INDIANA JONES franchise (not just those who feel that RAIDERS OF THE LOST ARK stands alone since it was never called INDIANA JONES AND THE RAIDERS OF THE LOST ARK), they'll throw the titular Ark of the Covenant coming alive with floating spirits whenever the later episodes go too far into the fantasy or, for the last two ventures, science-fiction and/or science-fantasy realm... but had RAIDERS ended up with Indy in Jerusalem B. C. or seated at The Last Supper for THE LAST CRUSADE, well, then...To give one small thing away with DIAL OF DESTINY would blow the entire cover, but basically new helmer James Mangold deliberately makes the Steven Spielberg action-directing-playbook a helluva lot noisier and way more needlessly violent: anyone helping-out the now extremely-aged and initially grouchy Jones will wind up quickly dead, making those random map-scattered characters not matter much beyond moving the bombastic adventure from one point to another -- in itself an important action-packed aspect which is often done decently enough...But the worst fan reviews have gone to the newest sidekick in Indiana's goddaughter played by the extremely tall and cocky Phoebe Waller-Bridge, actually more an attempted female version of the selfishly-driven RAIDERS French archeologist/middleman-heavy, Belloq, wanting fast cash for what's pricelessly meant as a museum artifact...Which is what Harrison Ford is at this point... an artifact... and the movie plays the old gruff sore-boned fella not only too much at times, but the randomly rejuvenated ""I've been doing this stuff all along"" hero doesn't seem very natural while, during various pockets of chase sequence escapades, the plot gets dizzy in a tiresome and complicated balancing act...Following the too-often-separated goals of Jones, the goddaughter Helena (with her own spry child sidekick, basically a sidekick's sidekick), and the central German Nazi, here played by Mads Mikkelsen, donning an omnipresent dull frown despite the usual Indy-villain obsession of obtaining the impossible by any means possible ie shadowing Jones since he always gets there first...Making DIAL ultimately feel more like a high-priced, multi-level video game (in particular the de-aged young Harrison Ford prologue) but that often feels maneuvered by a true franchise fan, trying their best to present a sky's-the-limit finale that ironically only works when it's not trying so hard to be... an INDIANA JONES movie.","
            8/10
            "
"redalfa147","4 February 2024","It was ok as a romp to not take seriously but it was spoilt by Phoebe Waller-Bridge's character, Helena, who seemed to be smiling incessantly. Very 1-sided character I disliked, and given the amount of screen time, spoilt the movie.Chases were fun if not ridiculous: would three-wheeled vehicles be able to travel that fast round corners without toppling over?I felt many of the action sequences relied too heavily on computer generation making them feel unrealistic. Some of the vehicle manoeuvres and the shooting of the characters within them didn't ring true and took my attention away from the movie.Glad there weren't be anymore, even though I grew up with Raiders.","
            7/10
            "
"allmoviesfan","1 July 2023","So happy to have Harrison Ford as Indiana Jones - the iconic Indiana Jones - back on the big screen. Some impressive CGI work to make Indy a young man again as he battles the Nazis at the end of World War Two before events fast forward about twenty years, though the Nazis are still the bad guys. I've always said that Indiana Jones is at his best when battling the Nazis, and it is true again in the fifth and final instalment of the series. Indiana Jones is a world-weary, basically-retired archaeologist when he is roped into one last adventure, basically against his will. The fedora is there, the whip, the impish grin and the occasional one-liner. So are the big action set pieces that have made the series so popular, and I liked the nods to Father Time (which I guess no one can escape) that permeate the movie, as Indiana Jones looks to his future, whilst fighting a foe from his younger days, with a couple of well-designed cameos from familiar faces. A delight to sit in the cinema and watch a fitting conclusion to one of my favourite film series. Thoroughly enjoyed this.","
            5/10
            "
"FlashCallahan","4 July 2023","Daredevil archaeologist Indiana Jones races against time to retrieve a legendary dial that can change the course of history.Accompanied by his goddaughter, and a wannabe Short-Round, he soon finds himself squaring off against Jürgen Voller, a former Nazi who works for NASA, and his henchmen, one who looks like Pat Roach, and one who Mangold must like because he was the bad guy in Logan.....Did this film really need to be made? There are two camps in regards to this. For people who really disliked KOTCS, yes, because they wanted him to go out with a bang. And no, they should have left it with Last Crusade, and didn't really want to see Ford don the fedora one more time.Did I enjoy it?Through gritted teeth I say yes. But am I saying I enjoyed it because I love the franchise, and I can't bring myself to say it was a tad boring in places and I should have deserved it more because I grew up with Indiana Jones?Time will tell, which is ironic considering the maguffin.Ford as expected is brilliant, and we see a disillusioned, very different Indy in him. He's slightly bitter at the world because of something that happened a few years before, and he's weary, tired of everything around him, almost becoming an artefact himself, as he appears reluctant to accept the changing world around him.The first twenty minutes is truly astonishing, and up there with the best set pieces of the franchise, but still the poorest of all of the films openings. And unfortunately the de-aging effects are pretty poor, and the fact that his voice sounds older is jarring at times, and really puts you off at times. But once we are on the train, it goes full pelt.After that, it does go slightly downhill, and never reaches the heights of the opening. Waller-Bridge is a welcome addition to the franchise, and she holds her own against Ford, even though she can be slightly annoying at times. And she has her own Short-Round following her about. And guess what? They met the same way as Indy met Shorty.Mikkelsen is truly wonderful as the big evil, and he oozes menace and charm in equal measures. This is one great villain, and Mikkelsen knows that his character is brilliant.There is a really good chase sequence in the middle of the film, it's funny, pretty breathtaking, and harks back to the first three movies. Another highlight of the movie.But there are a few negatives.Banderas is wasted, and I feel that a lot of his scenes were left on the cutting room floor. He barely has any lines, and the scenes we see him almost depict him as a very stupid person. Seeing that he is on the main posters for this just made me slightly annoyed, as he must only have about two minutes of screen time. It's a real problem for me, how ever trivial it may seem.Apart from one very touching scene, they reference the other films too bluntly, especially TOD, which is mentioned twice for some reason, and it's just a little cringey, especially when TOD is my favourite of the franchise (cinema trips with my dad we're golden days, that's why I love it).And then there is the final act. Depending on how you feel, this could be genius, or just plain stupid. But seeing as he has found the Holy Grail, The Ark of The Covenant, and dealt with aliens, I'll let it pass. But it's so random it will make you think 'really?' for a hot second.And one last thing, the film reminded me a little of Hudson Hawk. Both films have our heroes looking for different parts of an object across the world, and the object in question will change the world. But that's not a critique at all, just something I noticed.So all in all, it's a fun movie. A little slow at times, but I could not see a reason to cut anything from the film to make it a little shorter. It's not great, but die hard fans will get something out of this.A grower for sure.","
            8/10
            "
