"","Category","Title","Price","Rating","BrandDescription","ReviewStars"
"16","Data Storage","Screen Protector for iPad 9th 8th 7th Generation (10.2 Inch, iPad 9/8/7, 2021&2020&2019) Tempered Glass/Apple Pencil Compatible [2 Pack]","$7.98","4.6 out of 5 stars","Sat, Jan 27   FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 ",NA
"17","Data Storage","24-inch Professional Thin 1080p LED Monitor 99% sRGB 2x HDMI VGA Build-in Speakers, Machine Black (E248W-19203R Series)","$99.97","4.6 out of 5 stars","Sat, Jan 27   FREE delivery Sat, Jan 27 Or fastest delivery Thu, Jan 25 ",NA
"18","Data Storage","H390 Wired Headset, Stereo Headphones with Noise-Cancelling Microphone, USB, In-Line Controls, PC/Mac/Laptop - Black","$21.99","4.4 out of 5 stars","Sat, Jan 27   FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 ",NA
"19","Data Storage","Dual Monitor Stand - Adjustable Spring Monitor Desk Mount Swivel Vesa Bracket with C Clamp, Grommet Mounting Base for 13 to 30 Inch Computer Screens - Each Arm Holds 4.4 to 19.8lbs","$49.99","4.6 out of 5 stars","Tue, Jan 30   FREE delivery Tue, Jan 30 ",NA
"20","Data Storage","N60 1080P Webcam with Microphone, Adjustable FOV, Zoom, Software Control & Privacy Cover, USB HD Computer Web Camera, Plug and Play, for Zoom/Skype/Teams, Conferencing and Video Calling","$39.99","4.3 out of 5 stars","Sat, Jan 27  $3.00 coupon applied at checkoutSave $3.00  with coupon ",NA
"21","Data Storage","USB C Charger Cable [2 Pack, 6ft], 310 Type C Charger Cable Fast Charging, Braided USB A to USB C Cable for Samsung Galaxy Note 10 Note 9/S10+ S10, LG V30 (USB 2.0, Black)","$9.99","4.7 out of 5 stars","Sat, Jan 27   FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 ",NA
"22","Data Storage","Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet, Compact, Portable, Slim Design, Kid Friendly, Sturdy Metal Frame, Expandable Storage, Long Lasting Battery, US Version, 2021, Gray",NA,"4.5 out of 5 stars","NA No featured offers available$84.46(80 used & new offers)",NA
"23","Data Storage","Genuine TN760 High Yield Black Toner Cartridge, (for use with MFC-L2710DW MFC-L2750DW HL-L2350DW HL-L2370DW HL-L2395DW HL-L2390DW DCP-L2550DW Printers)","$70.49","4.7 out of 5 stars","Sat, Jan 27   FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 ",NA
"24","Data Storage","WD_BLACK 2TB SN770 NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 5,150 MB/s - WDS200T3X0E","$124.99","4.8 out of 5 stars","NA FREE delivery",NA
"25","Data Storage","952XL Black High-yield Ink Cartridge | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | F6U19AN","$57.89","4.7 out of 5 stars","Thu, Jan 25  Save more with Subscribe & Save",NA
"26","Data Storage","iPhone 15 Charger USB C Wall Charger iPad Pro Charger Type C Charger Block 2 Pack with 2 Pack 6FT Cable for iPhone 15/15 Plus/15 Pro/15 Pro Max/iPad Pro/Mini/Air/Air4/AirPods/Samsung","$9.90","4.4 out of 5 stars","Sat, Jan 27  Join Prime to buy this item at $8.91",NA
"27","Data Storage","902XL Black High-yield Ink Cartridge | Works with HP OfficeJet 6950, 6960 Series, HP OfficeJet Pro 6960, 6970 Series | Eligible for Instant Ink | T6M14AN","$50.89","4.6 out of 5 stars","Thu, Jan 25  Save more with Subscribe & Save",NA
"28","Data Storage",NA,NA,NA,"NA NA",NA
"29","Data Storage",NA,NA,NA,"NA NA",NA
"30","Data Storage",NA,NA,NA,"NA NA",NA
