"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"jasgrg","15 December 2018","One of the best dragon ball movie ever the animation effects fights are lit... Mindblowing Just Awesome","
            10/10
            "
"johnofardeal","19 February 2019","I enjoyed this a lot! The thing that I liked the most was the choreography of the fight scenes. Amazing! I really felt like being there with them the whole time. The animation is gorgeous most of the time, except some moments when the CGI looks a bit blocky, videogame-ish, but it moves fast so you won't notice it very often.Another strong point was how they managed to rewrite Broly's story and fit it in the greater Dragonball universe. I think they did a good job at explaining most of the changes added to the characters. A lot of great cameos. The new characters were also enjoyable and the creatures from Broly's planet were really interesting, especially his giat pet.Satisfying climax. Of course, Gocku and Vegeta fighting together is always a pleasure to witness and the fan service is strong with this one. Also, Broly's transformation is just violent.I didn't like some of the design changes for the main cast. Sometimes it felt a bit weird watching someone's who's supposed to be Vegeta not being very Vegeta-like. But it's ok. The animation is more fluent and so they probably had to adapt. Also, it felt like there were no real stakes. I mean, after seeing Goku use UI in the series it's hard to bring some guy and make him instantly more powerful, but again, that's just how Dragonball is.Great movie! Thank you to all involved in making it!","
            10/10
            "
"sadhi","16 December 2018","A masterpiece in terms of animation, storyline, old characters reintroduced, music. THIS MOVIE IS PHENOMENAL. Must watch!","
            5/10
            "
"rishprakash","15 December 2018","This is one of the best movies of all time, the animations make it really exhilarating.","
            8/10
            "
"educallejero","24 January 2019","The writing. My freaking god, the god awful writing was insufferable. The story was meaningless and it didn't improve the non-canon version from the 90's.All the characters were respected (contrary to the more childish, yes even way more childish DBSuper movies), but also totally boring. There was no tension of any kind, and even if I like were the movie went at the end, there were a millon better ways to get there.Another thing: At some point a character has to evolve. If it doesn't, what's the point of having these repetetive stories? It's always fighting a tough villain, so without character development, it gets really boring.The movie was slow, and the storytelling ""5 years old inclusive"" (which might be a great commercial decision, but I'm not 5, so it got into my nerves).It felt pure DBZ, no question, but also... it felt EXACTLY 1990 pure DBZ!Itsn't 2019 already? Why not use DIFFERENT CHARACTERS to showcase different emotions and relationships and grow? That won't happen if you only use Vegeta and Goku.-----
Having said that: Yes, the movie was atrocious in almost every way. But also, the spectacle was the best that DBZ has ever shown. The animation, and different animation techniques, plus the ""choreography"" was INSANE. In that important aspect, it was a 10. When you take account for the atrocious ""0 points"" deserving story, you get the five.--------
Please re-watch the non-canon Broly movie. It is better at everything but the budget for the fight scenes (and even if it is ""smaller"" it does have a good and way more emotional fight against Broly).","
            10/10
            "
"marmar-69780","29 March 2020","Dragon ball super broly is for me with battle of gods the best dragon ball film in history,there are some pretty awful ones but then there is some awesome ones like two mentioned above,lets just say that i am big fan of dragon ball ever since i watched it as kid and i had a lot of connection to franchise characters,and i must say that film gives them a lot of justice,animation is perhaps the best ever in this series and films and story is also as much intersting as fight and battle scenes that were awesome to watch,broly was improved compared to his previous version and he had a lot more personality and character in him, dragon ball super broly is a film that reminded me why i am fan of this franchise","
            8/10
            "
"Abdo-iq2","15 December 2018","Unfortunately it deserves more than 10. The animation was very good even the soundtrack. Every body should watch it....","
            6/10
            "
"msbreviews","15 March 2019","If you enjoy reading my Spoiler-Free reviews, please follow my blog :)If you stopped following Dragon Ball after Z or you don't even know what DB is, you'll basically be lost. You won't recognize certain characters, you won't understand how and why some guys are still alive, and you'll have no clue about how strong our warriors became. This is for the fans. I've seen critics bashing this film to shreds, and they start their reviews stating ""I've never seen the anime."" Then why would you watch a movie that clearly follows the anime's story and review it? Just leave it alone!This is the best Dragon Ball film ever, by a long shot. Yes, the track record wasn't that good to begin with, and most of the movies released aren't even canon. Still, Battle of Gods and Resurrection 'F' were pretty great, especially the former. Broly easily surpasses these two, in almost every aspect. Of course, I need to be fair to those first films. Dragon Ball Super elevated the anime once again and brought it back to the mainstream, so obviously, Broly had a lot of advantages since the studios offered everything they could so that the movie would be a major success. When the first two films were released, Super didn't exist yet. Basically, these first movies were trying to bring back Dragon Ball to life while Broly is all about keeping it alive and showing it still has tremendous potential.Thankfully, it all worked out perfect. The box office results are mind-blowing which will surely guarantee the continuation of Super (I'm waiting every single day for the news of the series renewal), and the film is, in fact, astonishing. The animation quality is absolutely jaw-dropping. You know when you go with friends to watch a movie and something so awesome occurs that you just look at each other in awe of what just happened? That's Broly every single minute from the moment the fight begins. Super gave the fans a glimpse of what the animation level could be if time was not an issue for the animators. The Tournament of Power arc is undeniable proof that when the production leaves the animators work with no pressure, the end result is outstanding.It's just so freaking awesome. This is the only word in the dictionary that can reflect how crazily good the animation is. Awesome. There are so many long sequences of choreographed fights, with the animation always on-point, and with exceptional editing. The aspect I love the most is probably how fast it all is. Finally, I can understand Krillin when he says ""how are you following that?!"" Everything flows in such a flawless style: the characters, the blasts, the environment, everything. The sound design is incredibly powerful, as well. From the get-go, you know you'll feel every punch, kick, ""Kamehameha"" and ""Galick Gun."" Goku, Vegeta, and Broly provide so many amazing action scenes, and I know I'll constantly rewatch them once they become available. God, Super ended a year ago, and I still find myself watching the final fight with Jiren every week or so.However, Dragon Ball isn't about the fights. Yes, everyone loves them, and there are a lot of fans who only care about the actual moment when our heroes fight their enemies. As a hardcore fan of the saga, it's so much more than that. If characters like Goku and Vegeta, but also Piccolo, Gohan or even Frieza didn't exist, their battles wouldn't have the same impact. They mean something because these characters are important to me. I care so much about them because they were beautifully-developed throughout hundreds of episodes. I know that fillers can be a bit boring, but for me, they were just another way of getting to know these characters. Give me twenty minutes of banter between Goku and Vegeta, and I'll be the happiest man on Earth, right now.I'll put it this way: if you enjoyed Battle of Gods more than Resurrection 'F', you will love DBS: Broly as much or more than I do. If it's the other way around, the first half of this film might leave you a bit disappointed. If you're one of those fans who only care about the fights, you can leave the first 45 minutes with barely any Goku or Vegeta to me and the other fans who care about the story. I heavily praise Akira Toriyama's screenplay. This is the big difference to the other non-canon movies: they weren't written by someone who really understands the characters at their disposal. Toriyama knows exactly who Broly is, where he comes from, and how he lived through his young years.He wonderfully flushes out Broly by giving him an emotionally captivating backstory, filled with parent abuse, violence, and isolation from the rest of the universe. The history of Saiyans and Planet Vegeta is (finally) told entirely, by showing us characters that we all know and love, but that we were never able to see for more than a few minutes. Nevertheless, the standout character of the film is Broly. He has more screentime than any of the other warriors, precisely due to the reason I mentioned above: for us to care about him. Truth is, when they start fighting, I don't want anyone to win or lose, because I genuinely care about all of them. Toriyama wasted half of the movie to develop this ""new"" character, and I 100% support his decision. Not only it generates more build-up to the inevitable climax, but it offers more layers to it. It stopped being ""just a fight.""Obviously, there were going to be nods to the past adventures. I almost dropped a tear when Goku and Vegeta show up for the first time due to the soundtrack alone. You'll love every single ""flash"" regarding previous moments of Dragon Ball history, including the latest series and arc. Toriyama also does a remarkable job in helping fans that never watched Super trying to understand what happened after Z, even if he didn't need to. The comedy bits are hilarious, as they have been with the latest series. From Vegeta yelling at Goku for doing or saying something dumb, to Bulma's interactions with Beerus and Whis, every joke lands in one way or another.As much as I love this film, it does have some issues regarding its mixing of CGI with animation. One of the things I didn't like at all in Resurrection 'F' was how some sequences felt like a video game. Unfortunately, there are a couple of moments like that in Broly. In order to keep the scenes flow without any cuts, CGI is necessary so the camera can change to another angle, and sometimes there's this feeling that you seem to be playing one of Dragon Ball games. However, my biggest gripe has to be with the overuse of visual effects. Using VFX to build rich environment and help the battles have more impact, not only doesn't work well but it's just not Dragon Ball.As we reach the climax, the VFX overpower the animation, and that is never a good thing. The fight loses its animated essence, and it becomes something that I don't even know how to describe, except that it isn't what it was supposed to be. In addition to this, even though I stated that this movie is about Broly and Broly alone, I would have loved to see more from Frieza. He acts purely as a plot device, and there's barely anything for him to actively do, but he's still important to make the plot move forward. Finally, the pacing could have been more balanced. Since the ending is predictable from even before the fight begins, it feels that the film was a bit stretched to try to reach the two-hour runtime.Also, if you've seen all the trailers, you basically know the entire movie. That's why I keep advising my followers to stop watching trailers or at least all of them. If you really need visual confirmation that the film deserves your time and money, watch the first trailer and decide from there. Dragon Ball Super always gave spoiler-heavy previews of the next episode, and the movie literally shows everything. Even without watching a single clip from it, I couldn't escape the spoilers regarding the appearance of specific characters, which pretty much ruined any surprise the film could have offered me. Even with that in mind, I still think the ending felt a bit rushed, contradicting the somewhat slow pace during the first two acts.In the end, there's no doubt about it. Dragon Ball Super: Broly is, by far, the best Dragon Ball movie to date, and it's really freaking awesome! It beats any other installment of the franchise, including the latest films. Akira Toriyama working together with a phenomenal team of animators is a match made in heaven. The story is remarkably well-written, with a full half dedicated to introduce and develop Broly as a mentally troubled child who had to deal with so much pain during his life. The animation reaches its peak quality-wise, demonstrating that when time is given to the animators, their work can be a visual masterpiece. With such an intriguing backstory on the history of Saiyans and a brilliantly structured build-up to an epic fight between Broly, Goku, and Vegeta, there was still time to cherish the nostalgia with some nods to previous moments in the beloved saga, as well as some hilarious comedy bits.With more control over the use of CGI and visual effects, this could very well be one of 2019's best movies. It still can be, but the climactic final battle lost of a bit of its impact due to the overwhelming VFX which completely overcame the animation itself. The ending is predictable before we reach half-runtime, and the spoiler-heavy trailers didn't help to keep surprise as a factor. I have to repeat what almost every critic has been saying: if you're a fan of the saga and you kept up with Super, this will give you everything you want and more. If you're just a casual moviegoer or if you stopped watching after Z, it's better if you don't ""poison"" social media with opinions on a film that simply wasn't made for you.Thank you, Toriyama! Thank you for giving me the chance to see my favorite anime on the big screen for the first time, and for making it epic.","
            10/10
            "
"delusions_of_greed","22 January 2019","Let me start by stating that I'm a HUGE Dragon Ball fan! So needless to say, I was very excited about this movie, but it absolutely did not live up to my expectations. The plot was definitely better and made more sense than the original and the action was INCREDIBLE, but outside of that, the movie was...... dumb. They had so many opportunities to make the movie interesting, but they chose to cut corners and go with the most stereotypical plots. And the music. My God, the music was hysterical. In a bad way. At first you don't notice it, but once you get into the real action it does this hilarious Deadpool 2 thing where they sing ""Broly"" in an epic manner, but the biggest difference between DP2 and Broly is that DP2 intentionally made it funny, but DBS tried to make it serious and it turned out to be one of the things I laughed at the loudest. And the end.... Let's just say, I see what they plan on doing, but it was the most cop out way to end it. All in all, the movie is not good. Go into it with low expectations and maybe you'll enjoy it, but the action scenes and animation were it's only saving grace.","
            10/10
            "
"umlaziking","16 August 2022","It's a freaking awesome movie. I believe that this broly is a far more fantastic and a far better written broly than the previous psychopathic broly. This broly actually had a relatable story and an amazing character design. I will admit, it's not an entirely perfect movie and I admit, the comedy was really funny but at some points in my own humble opinion it was a bit over done. But I will say that this movie is the best dragon ball movie to come out in years, there's a reason why it's the highest grossing dragon ball movie of all time and there's a reason why so many people, not only in Japan but around the world... completely enjoy this movie. Im glad I got the chance to watch this, I'm glad we got to see broly in action again after so many years and I'm extremely glad that broly is finally canon in the main story of dragonball. I just hope they use him more for dbs arcs and not sideline him like they did with Frieza.","
            6/10
            "
"divyamagarwal-29931","15 December 2018","It's awesome I love broly more than goku frieza is also awesome what even cool is super saiyan god Vegeta gotta love the transformation","
            10/10
            "
"cookienocrazy","26 January 2019","I should start this by saying this was my introduction to the Dragon Ball franchise, and as some other reviewers have noted this might not be the best jumping in point. That said, fresh impartial eyes can be useful for giving an objective review, and I am familiar with anime, as well as other Japanese cinema and culture.
There was definitely something to enjoy here; the animation was solid, the soundtrack and audio in general was good. BUT this film suffers from major structural issues.
The first half of the film is fairly rushed backstory, rushing you through some pretty complex and convoluted history without allowing any space in which a character (any character) can be written with even the slightest depth. The second half is a fight scene between a few of those characters. Really, the whole second half of the movie is one drawn out battle. It's an impressive battle, with some pretty great direction and engaging moments. It's not unenjoyable, but it lacks the depth required to care about the outcome.
Ultimately, this film doesn't really have a story. It has convoluted BACKstory and a fight. That's all.
As I left the cinema I overheard some die-hard fans say 'it felt like half a movie'. I agree. There's stuff to enjoy in that half a movie, but that's what it is.","
            10/10
            "
"rizwanhaiderhero","15 December 2018","A Must Watch film for every Dragon Ball Fan around the globe","
            10/10
            "
"GeorgeStrCy89","7 February 2019","First of all I must say this is probably the best dragon ball movie. It satisfies those who know about the events taking place before this movie, and also those who have no idea about it and never watched anything dragon ball related in the past.Now to enter the movie, I can separate it in two parts: a) the story and b) the fight. I believe I haven't seen any dragon ball movie in the past with such a crazy and long fight, what was great about it was the fact that I didn't feel bored at any moment. Of course in order to make the fight have sense they had to start the film with the events that took place decades ago. Maybe the power levels didn't make sense at some point but I can understand they wanted to show little bit of everything, it's also a bit crazy how Broly manages to adapt so fast, to Super Saiyan God and Blue while he was in base form for so long (imagine this guy achieving God and Blue powers). I am happy they rebooted such a fan favorite character like Broly, for those who'd seen Dragon Ball Super series will probably know there is a character similar with Broly from another universe, but this one looks much more promising (and already more loved). For those who just saw this movie and have no idea about the Super series, let me tell you something, you should go and watch it, especially the tournament of power arc. Do you remember in this movie when Goku said ""Tournament of power opened my eyes""? in that tournament he managed to awake a far more greater power, yes all the core fans know what I'm talking about! In this movie they didn't show anything about it (and there is reasoning behind it) but I believe they just wanted to introduce Broly in the series. The thing I liked the most about the movie was the ending (after the end of this crazy fight), it felt like a promise we will see a lot more from Broly in the future. One thing I couldn't imagine was that maybe we will get to see Broly fight alongside Goku and the rest of the gang since Goku is willing to help Broly becoming stronger (if possible), and also train with him to achieve even greater power and possibly reach his limits too.Before I finish this review, I wanted to say one more thing. I have a question for my ""beloved"" critics. I know it's your job to always try to find something negative to say about anything, well since I read the last few weeks some of you called this Japanese THING nonsensical, well how much sense can it have when it's science fiction? I highly doubt that you have any idea about dragon ball, did you watch the series before this movie? Hope you will enjoy the movie!","
            10/10
            "
"Mateo-EGC","22 April 2022","What all the fans were asking for.The return of Bardock together with a 90s style animation was a perfect combination. The battles were incredible, with never-before-seen styles and hair-raising soundtracks. Seeing it in the cinema makes it even more incredible.The best Dragon Ball movie so far.","
            10/10
            "
"NateTheLamb","19 December 2018","I have nothing much to say besides a huge thanks to the producers and anyone involved in the making of this movie for bringing back the feeling I used to get when watching DBZ when I was a child. Thank you so much. Really. Thank you.DBZ IS BACK!","
            10/10
            "
"seansimpson0903","6 February 2019","The movie provides a new twist and more backstory, great animation, and wonderful fights. The voice acting is amazing and the score is great. This movie provided me with more information on the sayians past. This movie exceeded my expectations by over 9000","
            6/10
            "
"zbuuury","14 February 2019","It has everything wou could hope to see in a Dragon Ball movie. Considering how weak are the other movies, this one makes up for every lasg one of them. It has a lot of action and also a good story behind it.
Congratulations and hopefully many more to come!","
            7/10
            "
"elonmusk-is_a_moron","13 August 2022","Animation wise, this movie is excellent. Dragon Ball movies never looked this good before.I also liked the introduction, revealing more details of the Saiyan life.And the fight scenes were simple wonderful.But a couple of things left a sour taste in my mouth:First, and more importantly, the awful characterization of Goku which started in Dragon Ball Super (Yes, I know Toriyama said Goku is ""not a hero"" like Superman, but there is a line between being a hero, and befriending guys that regularly commit genocide)He is an idiot here. A totally unlikeable idiot with no more thoughts other than ""I must fight strong guys"". So, so annoying.We have reached the point where Vegeta, a former cruel villain from this series, is more heroic than him. If Super continues this path, soon even Nappa would be more heroic than him.The second, is Frieza.I see some fans already claiming Frieza is the ""Joker"" of the Dragon Ball Franchise. For me, that is awful. Look, I do not hate Batman, but one of the reasons of why I preferred manga over the DC or Marvel comics, it's because there is real progress in the stories, the villains (and some heroes) stay dead, instead of keeping an eternal status quo where nothing can never change: This is made purely for commercial purposes; the real reason Batman cannot kill the Joker is not because the writers want to make a profound statement about how ""killing is wrong"", but is made because the editors are afraid of losing the Joker hardcore fans as part of their readership.So, no matter what, Batman can never kill the Joker, and he always keeps escaping from Arkam asylum and nothing ever changes.I hate the status quo from superhero western comics, because it totally squanders any form of character development in favor of endless pandering.So yeah, the last thing I would want for Dragon Ball is to follow that route. I can get over Frieza coming back to life once. I can get over the addition of another Frieza looalike character. So resurrecting him a second time (And by Goku, no less!) was way too much.Worse, at the end of the horrible Dragon Ball Super, he gets away scott-free, and this movie shows him continuing his genocide on the galaxy. And Goku? He simply does not care, and allows Frieza to roam free (Despite the clear warning Vegeta gave to him, about how ridiculously strong Frieza could get just by training a couple of months)This movie, like the horrible, horrid Dragon Ball Super, is just another victory for Frieza. He got away with everything, and they try to pass this as a ""happy ending"". Now Goku is just one step away of being best pals with the same guy that killed all his people.It might sound like nit-picking, but it kinda ruins my enjoyment of this movie, disregard of the positive elements. I cannot stand the new Peter Griffin Goku that only cares about fighting and befriends genocidal tyrants because he is ""not a hero"".But hey, at least the animation was nice. And New good Broly is an ok character.","
            10/10
            "
